id,type,lat_original,lon_original,lat_corrected,lon_corrected,distance_m,status
6403580001,GW140/2500b,37.373300,106.413300,37.373300,106.413300,,Review
6403580002,GW140/2500b,37.370000,106.405800,37.370000,106.405800,,Review
6403580003,GW140/2500b,37.370000,106.381100,37.370000,106.381100,,Review
6403580004,GW140/2500b,37.378900,106.373600,37.378900,106.373600,,Review
6403580005,GW140/2500b,37.388600,106.365300,37.388600,106.365300,,Review
6403580006,GW140/2500b,37.397200,106.359400,37.397200,106.359400,,Review
6403580007,GW140/2500b,37.405800,106.370300,37.405800,106.370300,,Review
6403580008,GW140/2500b,37.397200,106.359400,37.397200,106.359400,,Review
6403580009,GW140/2500b,37.410000,106.353900,37.410000,106.353900,,Review
6403580010,GW140/2500b,37.380800,106.404700,37.380800,106.404700,,Review
6403580011,GW140/2500b,37.378100,106.400000,37.378100,106.400000,,Review
6403580012,GW140/2500b,37.371900,106.391700,37.371900,106.391700,,Review
6403580013,GW140/2500b,37.381400,106.382500,37.381400,106.382500,,Review
6403580014,GW140/2500b,37.374700,106.391700,37.374700,106.391700,,Review
6403580015,GW140/2500b,37.390800,106.368900,37.390800,106.368900,,Review
6403580016,GW140/2500b,37.394200,106.371700,37.394200,106.371700,,Review
6403580017,GW140/2500b,37.396900,106.375800,37.396900,106.375800,,Review
6403580018,GW140/2500b,37.401100,106.386100,37.401100,106.386100,,Review
6403580019,GW140/2500b,37.406100,106.389400,37.406100,106.389400,,Review
6403580020,GW140/2500b,37.410800,106.376700,37.410800,106.376700,,Review
6403580021,GW140/2500b,37.408100,106.374700,37.408100,106.374700,,Review
6403580022,GW140/2500b,37.378600,106.430800,37.378600,106.430800,,Review
6403580023,GW140/2500b,37.382200,106.434700,37.382200,106.434700,,Review
6403580024,GW140/2500b,37.376400,106.439400,37.376400,106.439400,,Review
6403580025,GW140/2500b,37.377800,106.443900,37.377800,106.443900,,Review
6403580026,GW140/2500b,37.389200,106.422500,37.389200,106.422500,,Review
6403580027,GW140/2500b,37.390800,106.423900,37.390800,106.423900,,Review
6403580028,GW140/2500b,37.386400,106.424200,37.386400,106.424200,,Review
6403580029,GW140/2500b,37.385300,106.396900,37.385300,106.396900,,Review
6403580030,GW140/2500b,37.392200,106.403100,37.392200,106.403100,,Review
6403580031,GW140/2500b,37.392800,106.394200,37.392800,106.394200,,Review
6403580032,GW140/2500b,37.365800,106.430600,37.365800,106.430600,,Review
6403580033,GW140/2500b,37.362800,106.418600,37.362800,106.418600,,Review
6403580034,GW140/2500b,37.353900,106.422200,37.353900,106.422200,,Review
6403580035,GW140/2500b,37.355300,106.429400,37.355300,106.429400,,Review
6403580036,GW140/2500b,37.357200,106.435300,37.357200,106.435300,,Review
6403580037,GW140/2500b,37.360800,106.440600,37.360800,106.440600,,Review
6403580038,GW140/2500b,37.358300,106.407200,37.358300,106.407200,,Review
6403580039,GW140/2500b,37.330300,106.461400,37.330300,106.461400,,Review
6403580040,GW140/2500b,37.353900,106.403300,37.353900,106.403300,,Review
6403580041,V155-3.3MW-MK3E1,37.407700,106.318700,37.407700,106.318700,,Review
6403580042,V155-3.3MW-MK3E1,37.421300,106.303700,37.421300,106.303700,,Review
6403580043,V155-3.3MW-MK3E1,37.423800,106.304800,37.423800,106.304800,,Review
6403580044,V155-3.3MW-MK3E1,37.424200,106.302500,37.424200,106.302500,,Review
6403580045,V155-3.3MW-MK3E1,37.438800,106.325000,37.438800,106.325000,,Review
6403580046,V155-3.3MW-MK3E1,37.435500,106.302800,37.435500,106.302800,,Review
6403580047,V155-3.3MW-MK3E1,37.438200,106.301700,37.438200,106.301700,,Review
6403580048,V155-3.3MW-MK3E1,37.465000,106.306700,37.465000,106.306700,,Review
6403580049,V155-3.3MW-MK3E1,37.402200,106.326500,37.402200,106.326500,,Review
6403580050,V155-3.3MW-MK3E1,37.405300,106.335200,37.405300,106.335200,,Review
6403580051,V155-3.3MW-MK3E1,37.407700,106.324500,37.407700,106.324500,,Review
6403580052,V155-3.3MW-MK3E1,37.422200,106.325300,37.422200,106.325300,,Review
6403580053,V155-3.3MW-MK3E1,37.436300,106.318500,37.436300,106.318500,,Review
6403580054,V155-3.3MW-MK3E1,37.439000,106.326000,37.439000,106.326000,,Review
6403580055,V155-3.3MW-MK3E1,37.404000,106.322700,37.404000,106.322700,,Review
